,TIME,lamdaFL,lamdaFR,lamdaRL,lamdaRR,fxFL,tauFR,tauRL,tauRR,AX,AY,AngACC,X,Y,R,PSI
464,1.83766349503903,0.0621152747943274,0.0617412793259396,0.1036071688454071,0.1036071688454071,2828.8463702678773,-0.0501774245782039,-0.0132961480824748,-0.0125483884518454,0.328189904939723,-0.302763522917522,-1.26127446790494,75.6867006959061,-144.150892258718,-0.223082294061577,1.86115543803594
465,1.84532699007806,0.0619348427000985,0.0614762260986453,0.102970106206852,0.102970106206852,2831.1116836622487,-0.0448219407498686,-0.0136162635700072,-0.0128222032611569,0.323715934505725,-0.304499430029527,-1.23362447981412,75.6770268806537,-144.110521653125,-0.232649726452081,1.8594094738125
466,1.85266349503903,0.0620652940507815,0.0617726018509026,0.1023351404442349,0.1023351404442349,2832.418978877192,-0.0505712216942052,-0.0139139950068147,-0.0130758694993435,0.316887503256494,-0.305564459483829,-1.20220289559202,75.6678732148809,-144.071658896534,-0.241592572567353,1.8576698214759
467,1.86,0.0619105154782508,0.0615228970467057,0.1016635854325013,0.1016635854325013,2833.583109883542,-0.0455709850077384,-0.0142025682525838,-0.0133207815512903,0.311939327083931,-0.306882965252042,-1.17409589710975,75.6588271639635,-144.032590069702,-0.250315998064888,1.85586564098929
468,1.875,0.0621589790325352,0.0621270430299279,0.1001324536923343,0.1001324536923343,2838.525942664974,-0.0563907204531792,-0.0147623342186093,-0.0137930668397514,0.296733994478902,-0.308230165649353,-1.10630126367691,75.6406736692068,-143.952081872111,-0.267449571580571,1.85198229131865
469,1.89,0.0618716673140262,0.0616190274297476,0.0984097647193084,0.0984097647193084,2847.120047494756,-0.04669732194831,-0.0152784928325186,-0.0142250329867405,0.284574166822747,-0.309775729264627,-1.04449807183423,75.6229937456663,-143.870757448354,-0.283605714243986,1.847851784286
470,1.905,0.0620762690959911,0.0621784737743415,0.0965622351264546,0.0965622351264546,2857.516039465836,-0.0563909527377184,-0.0157495892201017,-0.0146160703783743,0.26768651947712,-0.309748261724961,-0.972299344266023,75.6057966714927,-143.788637657557,-0.298759945294715,1.84348392608469
471,1.92,0.0618540729275571,0.0617034737038186,0.0946449273272105,0.0946449273272105,2868.401790320949,-0.047198926284635,-0.0161721987522485,-0.0149637567118442,0.253712704670272,-0.30974344293695,-0.905422160805517,75.5891001725445,-143.705767643254,-0.312865575104335,1.83889931759988
472,1.935,0.0620350777370055,0.0622146009123987,0.0926396784495674,0.0926396784495674,2880.7352656929647,-0.0557354250412659,-0.0165458107726342,-0.0152682426921823,0.235693459546581,-0.308191101967971,-0.829467942789936,75.5729118827085,-143.622171268639,-0.325902764329896,1.83410843316136
473,1.94212915119752,0.0619419829267207,0.0619944072736981,0.0917052388462881,0.0917052388462881,2887.338328518144,-0.0515999918601249,-0.0167053582479153,-0.015397222309384,0.228696485410536,-0.30751778631788,-0.796064143953433,75.5654009573484,-143.582202858977,-0.331711922673951,1.83176677769717
474,1.94212915119754,0.0619419829267211,0.0619944072737002,0.0917052388462897,0.0917052388462897,2887.338328518144,-0.0515999918601078,-0.0167053582479158,-0.0153972223093844,0.228696485410524,-0.307517786317879,-0.796064143953369,75.5654009573484,-143.582202858977,-0.331711922673963,1.83176677769716
475,1.94606457559877,0.0617514072207581,0.0617216612322056,0.0912169637463271,0.0912169637463271,2890.2785508923,-0.0491832041922178,-0.0168311467599677,-0.0155020454370653,0.221722488088682,-0.324926377454218,-0.957028677856982,75.5613054383706,-143.560071699014,-0.335169734139845,1.83045454314693
476,1.95,0.0617732963433002,0.0616824694769425,0.0907346401201617,0.0907346401201617,2891.1861544937465,-0.0467805930680328,-0.016946724655595,-0.0155977616831802,0.21901815551575,-0.314744954694936,-0.834189646058494,75.5572475939685,-143.537895588369,-0.338510918710098,1.82912900887714
477,1.95393542440123,0.0619531225888445,0.061925216268183,0.0902709503213664,0.0902709503213664,2891.152489697599,-0.0488311436395199,-0.0170290649008183,-0.0156639790165786,0.216581102826301,-0.303566464958346,-0.705243185411671,75.5532270723255,-143.515675006394,-0.341538745054513,1.82779086003903
478,1.95787084880246,0.0619174813062751,0.0617951357935734,0.0898141767327894,0.0898141767327894,2893.345818972277,-0.0466093514222398,-0.0170889865575057,-0.0157104089853267,0.213280412790435,-0.30217959220926,-0.679651044066466,75.5492431778224,-143.493410906858,-0.344331170138149,1.82644141756695
479,1.96180627320369,0.0618893042831015,0.0618631012275031,0.0893140740926955,0.0893140740926955,2898.713052717975,-0.0486568079210014,-0.0171412269773074,-0.015750165322194,0.208393719752542,-0.303152173062547,-0.679521397814535,75.5452958019259,-143.471103737,-0.347007708419785,1.82508106040591
480,1.96339754195248,0.061869723530274,0.0618219633198768,0.0891020522420169,0.0891020522420169,2901.676973558516,-0.047775245296181,-0.0171627979860189,-0.0157666818329224,0.206836534533665,-0.303139942079571,-0.675338597044106,75.5437100771061,-143.462071978884,-0.348078042741715,1.82452804779958
481,1.9633975419525,0.0618697235302742,0.0618219633198746,0.0891020522420123,0.0891020522420123,2901.6769735585344,-0.0477752452961719,-0.0171627979860192,-0.0157666818329227,0.206836534533652,-0.30313994207957,-0.675338597044056,75.543710077106,-143.462071978884,-0.348078042741725,1.82452804779957
482,1.96733296635373,0.0611871217640996,0.0613536525981056,0.0881551741782356,0.0881551741782356,2910.835253395104,-0.048474470272657,-0.0172232631629912,-0.015813890428429,0.197201238251783,-0.30513305262046,-0.682291424303763,75.5398142048106,-143.439705799279,-0.350753136681336,1.82315294457407
