TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4,STRA
0.0002472971062046,-4.67667168744911e-08,-1.21194366752936e-08,-1.30695576953233e-08,6.26585271730684e-07,6.26586984247462e-07,3.06942010264607e-06,3.06942181522003e-06,0.0,0.0,0.0,0.0,9.53819870503585e-07,7.2061103057854e-07,8.38731108918173e-07,5.64270397316444e-07,4.3170059466768e-08,8.5363635296134e-08,-1.31877834558341e-07,-1.31877834558349e-07,3.01289847827353
0.0003265275762642,-8.0209163749564e-08,-2.07864323447932e-08,-2.24120601536336e-08,1.43545805344849e-06,1.43546314499015e-06,5.64509949722038e-06,5.64510458903704e-06,0.0,0.0,0.0,0.0,1.63582724248986e-06,1.23590942016102e-06,1.43846408785617e-06,9.67810824630172e-07,7.39984698995052e-08,1.46332860959399e-07,-2.26092958515236e-07,-2.26092958515274e-07,3.01289847828188
0.0004634976310222,-1.5735254204032e-07,-4.07804861783839e-08,-4.39528876854662e-08,3.99824171589663e-06,3.99826089136589e-06,1.23208892630494e-05,1.23209084395956e-05,0.0,0.0,0.0,0.0,3.20887140073577e-06,2.42456280115948e-06,2.82179345129887e-06,1.89878280990639e-06,1.44988801216853e-07,2.86758643428491e-07,-4.43162011774878e-07,-4.43162011775164e-07,3.01289847830827
0.0006004676857801,-2.56867728203538e-07,-6.65764102442534e-08,-7.17163869843464e-08,8.55514521065589e-06,8.55519777683876e-06,2.22558742884166e-05,2.225592685666e-05,0.0,0.0,0.0,0.0,5.2376747467066e-06,3.95790155435987e-06,4.60603798637423e-06,3.09999385971302e-06,2.3626802566002e-07,4.67387009460841e-07,-7.22547133958116e-07,-7.22547133959358e-07,3.01289847835517
0.0008178074207498,-4.56945224185234e-07,-1.18450537144178e-07,-1.27461178873384e-07,2.07780066831448e-05,2.07781730106637e-05,4.54744061963922e-05,4.5474572528434e-05,0.0,0.0,0.0,0.0,9.31531512869308e-06,7.04062849529468e-06,8.19252074086759e-06,5.51583598458312e-06,4.18871143592645e-07,8.28945048088479e-07,-1.2823102357851e-06,-1.28231023579207e-06,3.01289847848095
0.0008214222276502,-4.60683785301557e-07,-1.19419962795422e-07,-1.28501922824069e-07,2.10394372303425e-05,2.1039606234577e-05,4.59433000601306e-05,4.59434690689412e-05,0.0,0.0,0.0,0.0,9.39149260918168e-06,7.09822998895484e-06,8.25952696909261e-06,5.56098658984515e-06,4.22272357947913e-07,8.35682054506249e-07,-1.29274670583255e-06,-1.29274670583969e-06,3.01289847848365
0.0008250370345506,-4.64434840978406e-07,-1.20392633755224e-07,-1.29546107928293e-07,2.13029945320952e-05,2.13031662452274e-05,4.64150910116164e-05,4.64152627293788e-05,0.0,0.0,0.0,0.0,9.46792402513131e-06,7.15602394898642e-06,8.32675674783764e-06,5.60628848140292e-06,4.25684482487041e-07,8.4244077853532e-07,-1.30321708393654e-06,-1.30321708394386e-06,3.01289847848635
0.0008431110690528,-4.83376333975724e-07,-1.25304358484548e-07,-1.34818298844957e-07,2.26529626493497e-05,2.2653148399334e-05,4.8817739275372e-05,4.88179250302685e-05,0.0,0.0,0.0,0.0,9.85386531128332e-06,7.4478621782349e-06,8.66623714741148e-06,5.83505287173438e-06,4.42907455897682e-07,8.76557632291256e-07,-1.35607379499482e-06,-1.35607379500307e-06,3.01289847850022
0.000861185103555,-5.02625268318714e-07,-1.30295949564609e-07,-1.4017507898503e-07,2.40572446067991e-05,2.40574452379208e-05,5.12937834705666e-05,5.12939841069017e-05,0.0,0.0,0.0,0.0,1.02460534552724e-05,7.74443614238412e-06,9.01121735401512e-06,6.06754069540481e-06,4.60397852542835e-07,9.11207066033825e-07,-1.40976265215369e-06,-1.40976265216296e-06,3.01289847851472
0.0009515552760658,-6.0333608559938e-07,-1.56414491561815e-07,-1.68185172713303e-07,3.1926974886229e-05,3.19272638246289e-05,6.48033497462938e-05,6.48036386916892e-05,0.0,0.0,0.0,0.0,1.22976948684048e-05,9.2960981541501e-06,1.08159855972929e-05,7.28409697044376e-06,5.51702377862206e-07,1.09213457679942e-06,-1.69022677166114e-06,-1.69022677167714e-06,3.01289847859574
0.0010419254485766,-7.11148849580265e-07,-1.84379540698279e-07,-1.98138461152879e-07,4.12887946710931e-05,4.12891981862603e-05,8.02611570918954e-05,8.02615606163233e-05,0.0,0.0,0.0,0.0,1.4493448334554e-05,1.09571440971821e-05,1.27476865855023e-05,8.58677890150495e-06,6.49051014527003e-07,1.28513178434088e-06,-1.98962995714439e-06,-1.98962995717056e-06,3.01289847869216
0.001451535516314,-1.2769374770952e-06,-3.31224162122961e-07,-3.54731420503154e-07,0.000105086899985,0.0001050882789714,0.0001769824925949,0.0001769838716003,0.0,0.0,0.0,0.0,2.60059278328811e-05,1.96734349494297e-05,2.28787420699369e-05,1.54293822406007e-05,1.152554721235e-06,2.28508638245492e-06,-3.54519165994152e-06,-3.5451916600914e-06,3.01289847935004
0.0018611455840515,-1.94473118109303e-06,-5.04748688177531e-07,-5.381491032327e-07,0.0002090734861084,0.0002090768972336,0.0003216915029905,0.0003216949142164,0.0,0.0,0.0,0.0,3.95691044841051e-05,2.99595688582748e-05,3.48215332940836e-05,2.35204021305244e-05,1.72950259173226e-06,3.43505142415473e-06,-5.34434815391092e-06,-5.34434815443295e-06,3.01289848042342
0.0026997303196063,-3.60889673028567e-06,-9.27011680404154e-07,-9.75181127460006e-07,0.0005648537017254,0.000564865931876,0.000781195664693,0.0007812078885987,0.0,0.0,0.0,0.0,7.29286933932658e-05,5.54654695021299e-05,6.43728527530962e-05,4.3894049103426e-05,2.74369313605822e-06,5.70326587799154e-06,-9.49917184686053e-06,-9.49917184998072e-06,3.01289848409589
0.0035383150551611,-5.998850613749e-06,-1.50811562136971e-06,-1.53962856753175e-06,0.0011328473065069,0.0011328777162762,0.001473102113271,0.0014731324905404,0.0,0.0,0.0,0.0,0.0001194938379525,9.17470747788523e-05,0.0001061488589881,7.38166591875636e-05,2.95598060316472e-06,7.1629825577607e-06,-1.43293512753161e-05,-1.43293512876684e-05,3.01289849024547
0.0043768997907159,-9.46790128385848e-06,-2.34055691934122e-06,-2.29267550948144e-06,0.0019162678703075,0.0019163283200579,0.0023968580337416,0.0023969183908732,0.0,0.0,0.0,0.0,0.0001857768515934,0.0001441692733346,0.0001660916114286,0.0001179454261652,2.16864405903176e-06,7.59357978762016e-06,-1.99158583534095e-05,-1.99158583937585e-05,3.01289849936995
0.0052154845262707,-1.4542167063077e-05,-3.59288802199607e-06,-3.29163655588432e-06,0.0029090124573371,0.0029091217987249,0.0035399921419674,0.0035401013015011,0.0,0.0,0.0,0.0,0.0002810479595315,0.0002208893982489,0.0002526946873924,0.0001835703211929,2.00185912319434e-08,6.26799460227515e-06,-2.51059567685068e-05,-2.51059568806711e-05,3.01289851272076
0.0058354963171919,-1.93205970403913e-05,-4.80605998562013e-06,-4.16137799818703e-06,0.0037724519386104,0.0037726119358522,0.0045199136230126,0.004520073364594,0.0,0.0,0.0,0.0,0.0003696644282953,0.0002932435604398,0.0003335034190914,0.0002461144844163,-2.56081598890682e-06,3.79094228179851e-06,-2.77821717072524e-05,-2.77821719157306e-05,3.01289852562371
0.0064555081081131,-2.4635797229191e-05,-6.22149570424936e-06,-5.00951993192698e-06,0.0047336451147744,0.0047338733280601,0.005599879413505,0.0056001073072894,0.0,0.0,0.0,0.0,0.0004664457908915,0.0003739777330567,0.0004221369065787,0.0003169369944361,-6.24600086816314e-06,-9.1427830618997e-07,-2.69060420856966e-05,-2.69060423956164e-05,3.01289854140164
0.0070755198990343,-3.00596809632011e-05,-7.74908061287476e-06,-5.72153848209178e-06,0.0057861903170036,0.0057865064699943,0.0067726879942882,0.0067730037760197,0.0,0.0,0.0,0.0,0.0005628930131128,0.0004566739211588,0.0005109713487454,0.0003908190515425,-1.10768491667183e-05,-8.24535764253053e-06,-2.10807135585513e-05,-2.10807138969427e-05,3.01289855980515
0.0076955316899555,-3.44305450757097e-05,-9.11368014986121e-06,-6.05209711008527e-06,0.0069161863044628,0.0069166128462383,0.0080228651696029,0.0080232912969029,0.0,0.0,0.0,0.0,0.0006369607749026,0.0005238219667983,0.0005800051668852,0.000452911142716,-1.66429991887813e-05,-1.81405698913625e-05,-8.5451279680489e-06,-8.54512813423901e-06,3.01289857967805
0.0083155434808766,-3.70257123414354e-05,-1.01213213174868e-05,-5.90437935072257e-06,0.0081162961657539,0.0081168550137104,0.0093423504664121,0.0093429088618705,0.0,0.0,0.0,0.0,0.0006758249623138,0.0005644753927471,0.0006173816334417,0.0004933896841452,-2.21996432579501e-05,-2.95472530756305e-05,1.01147147734557e-05,1.0114714979836e-05,3.01289859999916
0.0089355552717978,-3.65414905321437e-05,-1.0385544588875e-05,-5.20373015742678e-06,0.0093711060013745,0.0093718136750249,0.0107143055080872,0.0107150126845393,0.0,0.0,0.0,0.0,0.0006579744811201,0.0005588255815969,0.0006027614921912,0.0004934831735253,-2.54672745578037e-05,-3.86936733566928e-05,3.08936433821916e-05,3.08936439304774e-05,3.01289861848984
0.009555567062719,-3.26424100226049e-05,-9.77087169414336e-06,-4.033660150411e-06,0.0106728207639211,0.0106736875878211,0.0121302813226127,0.0121311475866279,0.0,0.0,0.0,0.0,0.0005795513466077,0.0005017241895525,0.0005319895596132,0.0004472827055028,-2.48777594005877e-05,-4.26665406639403e-05,4.97552296750991e-05,4.97552302865436e-05,3.01289863410106
