TIME,AX,AY,AngACC,X,Y,R
0.100751084513103,4.63008036539813e-06,7.53800862001311e-08,3.69609817597029e-07,76.9999999996493,-147.999999944229,-4.25074399132646e-09
0.100837727098329,4.77761085617314e-06,7.81278477204108e-08,3.88095172435633e-07,76.9999999996501,-147.999999944235,-4.21789188948491e-09
0.101270940024458,5.38587686214149e-06,9.21789770190444e-08,4.61178497288169e-07,76.9999999996537,-147.999999944262,-4.03382707817524e-09
0.101704152950587,5.81902417124066e-06,1.03566535766928e-07,5.0081143158082e-07,76.9999999996572,-147.999999944278,-3.82783349205654e-09
0.10387021758123,7.79982886628658e-06,1.44505521349735e-07,7.01763264271282e-07,76.9999999996713,-147.99999994418,-2.52432640639814e-09
0.106036282211874,9.09930877514336e-06,1.73400942813555e-07,8.34948812735939e-07,76.9999999996786,-147.999999943722,-8.84120470866589e-10
0.110909274267217,8.88526385239079e-06,1.79045544011121e-07,8.41415354065129e-07,76.999999999667,-147.999999941231,3.21039413607098e-09
0.11578226632256,5.90436546981392e-06,1.2583578846639e-07,5.67357356756967e-07,76.9999999996195,-147.999999936966,6.41843662961598e-09
0.11789113316128,3.51948200190327e-06,8.50946354875156e-08,4.31846466919402e-07,76.9999999995888,-147.999999934632,7.47351920133625e-09
0.12,1.69802406273969e-06,4.72778984438392e-08,2.01682042460691e-07,76.9999999995548,-147.999999932153,8.10875641780821e-09
0.120001291721716,3.41065322445203e-05,1.15531442416945e-07,-5.27329098813405e-06,76.9999999995547,-147.999999932151,8.10547584294331e-09
0.120002583443431,0.000112110046025436,2.17608158247377e-07,-1.02200646340915e-05,76.9999999995547,-147.99999993215,8.09558133170772e-09
0.120009042052009,0.00110484545872804,1.22244706182253e-06,-2.71876468207745e-05,76.9999999995546,-147.999999932142,7.97420274546035e-09
0.120015500660587,0.00282480054308153,2.99975111831679e-06,-3.20009745936463e-05,76.9999999995545,-147.999999932133,7.79595537374448e-09
0.120023462046572,0.00562867497300703,6.15992161251724e-06,-2.20312641555861e-05,76.9999999995544,-147.999999932121,7.57994045568968e-09
0.120031423432556,0.00871403706692587,1.01445665579059e-05,3.79715113004787e-06,76.9999999995542,-147.999999932105,7.52808920685105e-09
0.120046676648826,0.014910455896758,1.92477905542914e-05,9.13545631821448e-05,76.9999999995539,-147.999999932057,8.25023649936609e-09
0.120061929865096,0.0210841924785725,2.84728610729047e-05,0.000210425979571795,76.9999999995536,-147.999999931972,1.06307342470555e-08
0.120077183081366,0.0271273725785903,3.67671049791903e-05,0.000346508221318188,76.9999999995532,-147.999999931842,1.48794381570588e-08
0.120092436297636,0.0330290457306728,4.26569556032545e-05,0.000472033964057602,76.9999999995527,-147.999999931648,2.10956968871664e-08
0.120112786464042,0.040568553589687,4.67819938006576e-05,0.000605282395957958,76.9999999995519,-147.999999931271,3.20635504292616e-08
0.120133136630449,0.0478138493502787,4.91987050702038e-05,0.000698000484160764,76.9999999995509,-147.999999930725,4.51891192588854e-08
0.120153486796855,0.0535013534311125,5.29697248749127e-05,0.000802198045344282,76.9999999995497,-147.999999929992,6.04465271790517e-08
0.120173836963262,0.0527382922985461,6.51668620982623e-05,0.000954719764430407,76.9999999995483,-147.999999929049,7.84848005660662e-08
0.120188513481531,0.0483800927616166,8.08059903511785e-05,0.00109382336768604,76.9999999995471,-147.999999928239,9.35126552613541e-08
0.1202031899998,0.0428338700499389,0.000104664792373597,0.00127816071695164,76.9999999995458,-147.999999927331,1.11027906229786e-07
0.120229164624022,0.0323787161315956,0.000166965804547241,0.00178393625792217,76.9999999995428,-147.999999925509,1.50754617967668e-07
0.120255139248245,0.0220763979634529,0.000247334917729544,0.00250784514454204,76.9999999995385,-147.999999923485,2.07423745376258e-07
0.120281113872467,0.0120134955903243,0.00033701254738381,0.0033619614812606,76.9999999995327,-147.999999921303,2.83697286072123e-07
0.120307088496689,0.00595370070248341,0.000417484547034946,0.00400405126553365,76.9999999995245,-147.999999919041,3.78457617628844e-07
0.120324665592016,0.00645629318311722,0.000463043232162157,0.00433009692973757,76.9999999995176,-147.999999917474,4.51710510067209e-07
0.120329851306758,0.0077067900298452,0.000474201971553043,0.00441212313567745,76.9999999995153,-147.999999917008,4.74377911427956e-07
